Product Name,Barcode,URL,URL 1,URL 2,URL 3,URL 4,URL 5,Video_URL,Video_URL1,Video_URL2,Video_URL3,Video_URL4
Fra-Ber Polish Plus Aroma Genel Plastik Parlatıcı Koruyucu 750ML,74903,,,,,,,https://www.youtube.com/watch?v=kd7UzH9xzaE,https://www.youtube.com/watch?v=EGI1m7MACYg,,,
Gyeon Q²m Suede Evo Seramik Uygulamaları Için Süet Silme Bezi 10×10CM - 10 Lu Paket,Q2M-SEP1010C,,,,,,,,,,,
Gyeon Q² Trim Evo Plastik Koruyucu ve Solmuş Plastik Yenileyici Seramik Kaplama - 30ML,Q2-TRE30M,,,,,,,https://www.youtube.com/watch?v=KzZk8eOByyE,https://www.youtube.com/watch?v=m8pMXMI_SOU,,,
"Gyeon Q²m Iron Redefined Demir Tozu, Balata Tozu Temizleyici ve Pas Sökücü Ph Nötr - 4000 ml",Q2M-IR4000M,,,,,,,https://www.youtube.com/watch?v=8X1JI0DC74Q,https://www.youtube.com/watch?v=8KQ8ssDOj9Q,https://www.youtube.com/watch?v=ItanaViH71k,,
Gyeon Q²m Foam Araç Ön Yıkama Şampuanı Konsantre - 4000 ml - Yoğun Köpüklü Prewash Snow Foam,Q2M-FYA4000M,,,,,,,https://www.youtube.com/watch?v=vZJsAl1FkjI,https://www.youtube.com/watch?v=nfWxuHmp8CY,,,
Gyeon Q²m Odorremover Kötü Koku Giderici Sprey - 500 ml -Çok Amaçlı Geniş Alan Kokusu,Q2M-OR500M,,,,,,,https://www.youtube.com/watch?v=eT_Ns3PDMo4&t=1s,https://www.youtube.com/watch?v=EuVFp5ah_po,,,
Gyeon Q²m Restartwash Konsantre Yüzey Yenileyici Şampuan 1000 ml,Q2M-RW1000M,,,,,,,https://www.youtube.com/watch?v=YGNZ0eg0Mnk,https://www.youtube.com/watch?v=pcubF02SRNw&t=145s,,,
Fra-Ber X-Xs Güçlü Ön Yıkama Köpüğü ve Sinek Böcek Temizleyici (1:60 Konsantre) - 25 kg,78784,,,,,,,,,,,
Gyeon Q²m Total Remover Balmumu Wax Cila Çözücü Koruma Sökücü - 500 ml,Q2M-TOTR500M,,,,,,,https://www.youtube.com/watch?v=tUQtr3zHbhs&t=2s,https://www.youtube.com/watch?v=39In4-PwLwY,https://www.youtube.com/watch?v=Z3JKgEYydn0,,
Fra-Ber Gommalux Uzun Süreli Lastik Parlatıcı ve Koruyucu Sprey - 600 ml,70863,,,,,,,https://www.youtube.com/watch?v=N07puaymcVo,https://www.youtube.com/watch?v=9wWofr0CS9g,https://www.youtube.com/watch?v=2pZdnq4vslc&t=69s,,
Gyeon Q²m Steering Wheel Cover Araç Direksiyon Koruyucu Kılıf Siyah - 1 Adet,Q2M-SWCOV,,,,,,,,,,,
"Fra-Ber Cream Leather Deri Bakım ve Koruyucu Parfümlü - 4,54 Lt",700468,,,,,,,https://www.youtube.com/watch?v=zvQuCkIn5GM,https://www.youtube.com/watch?v=H2kZ18bnaQk&t=126s,,,
Fra-Ber X-Xs Güçlü Ön Yıkama Köpüğü ve Sinek Böcek Temizleyici (1:60 Konsantre) - 5 kg,78783,,,,,,,,,,,
Gyeon Q²m Clay Mild Evo Günlük Hafif Yüzey Temizleyici Kil Hamuru - 100 gr -Kimyasala Dayanıklı,Q2M-CME,,,,,,,https://www.youtube.com/watch?v=hymoCw4Equo,,,,
Fra-Ber Kimyasal Dayanıklı Ölçekli Ithal Sprey Başlıklı Şişe (Yeşil) - 1000 ml,79586-644,,,,,,,,,,,
Fra-Ber Bersolwax Seramik Içerikli Yeni Nesil Araç Yıkama Şampuanı - 1000 ml,701003,,,,,,,https://www.youtube.com/watch?v=56OPyfU_zXQ,https://www.youtube.com/watch?v=mLiqEM4EJhU&t=77s,,,
GYEON Q2M Wheel Brush Mikrofiber Jant Fırçası Orta Boy 38 cm,Q2M-BM,,,,,,,,,,,
Gyeon Q2M WheelBrush Large Jant Fırçası,Q2M-BL,https://gyeon.co/product/wheelbrush/,https://carzilla.ca/products/gyeon-q2m-wheel-brush-medium-size,https://www.cleanyourcar.co.uk/gyeon-q-m-wheelstick-large,https://www.mycarcleaning.co.uk/products/gyeon-q2m-wheel-brush-large,https://www.elitecarcare.co.uk/product/gyeon-q2m-wheel-brush-large/,https://www.carclean.com/nl/gyeon-q2m-wheelbrush-large.html,,,,,
Innovacar 100% Degreasıng Anti Statik Çok Amaçlı Temizleyici Yağ Çözücü Konsantre - 500 ml,79406,https://en.innovacar.it/products/car-cleaner-e-sgrassatore-auto-100-degreasing,https://detailingmania.lv/en/products/innovacar-100-degreasing-500ml----all-purpose-cleaner,https://carcaredetailing.com/prodotto/innovacar-100-degreasing/,,,,https://www.youtube.com/watch?v=MjYfcENLjPE,https://www.youtube.com/watch?v=J3e5oDqlaA8,,,
Gyeon Q2 One Evo Light Box 100 ml,Q2-OLE100M,,,,,,,https://www.youtube.com/watch?v=YW5hrcT5Bq8&t=2s,https://www.youtube.com/watch?v=SxEowHfp8Rs&t=1s,https://www.youtube.com/watch?v=Say7dy7IN0g,,
Gyeon Q2 Primer 1000 ml,Q2-PR1000M,,,,,,,,,,,
Menzerna P14F Orta Kesici Katı Cila Beyaz Alüminyum Pirinç Paslanmaz Tek Adım Parlatıcı – 1300 gr,07163.056.001,,,,,,,,,,,
"Fra-Ber Polish Plus Antistatik Plastik, Trim, Vinil Yenileyici Bakım Spreyi (1:3 Konsantre) - 4.54 Lt",700209,,,,,,,https://www.youtube.com/watch?v=kd7UzH9xzaE,,,,
Menzerna 3500 Super Finish Plus Hare Giderici 1 Litre,22911.261.001,,,,,,,,,,,
Fra-Ber Fraber Innovacar S2 Foamy Yeşil Renkli Ph-Nötr Şampuan 1 Lt,700508,,,,,,,https://www.youtube.com/watch?v=dgvufLc5o08,,,,
Fra-Ber Mega Conc Shiuma Güçlü Ön Yıkama Köpüğü (1:80 Konsantre) - 25 kg,73575,,,,,,,,,,,
Innovacar N0 Odors Etkili Koku Giderici ve Önleyici - 500 ml,79415,,,,,,,https://www.youtube.com/watch?v=VSHDWcLb5r4,,,,
Gyeon Q²m Tar Redefıned Zift Katran Reçine Temizleyici ve Yapışkan Sökücü - 1000 ml,Q2M-TR1000M,https://gyeon.co/product/tar-redefined/,https://www.gsfcarparts.com/products/q-m-tar-redefined-1000-ml-brngtar1000r,https://www.detailedimage.com/Gyeon-M91/Tar-P1426/500-ml-S1/,https://carzilla.ca/products/gyeon-q2m-tar-redefined,https://autojoy.shop/en-de/products/gy-q2m-tar,https://www.cleanyourcar.co.uk/gyeon-q2m-tar,https://www.youtube.com/watch?v=1po_YMt0v1c,,,,
Gyeon Q² Leather Coat Redefıned Deri Yüzeyler Için Bakım ve Koruma - 120 ml,Q2-LCR120M,https://gyeon.co/product/leathercoat-redefined/,https://www.detailedimage.com/Gyeon-M91/Leather-Coat-P1416/120-ml-S1/,https://carzilla.ca/products/gyeon-q2-leathercoat-redefined,https://www.theultimatefinish.co.uk/products/gyeon-q2-leather-coat-redefined.aspx,https://detailing.com/products/gyeon-q-leather-coat-redefined-500-ml#product-specifications,,https://www.youtube.com/watch?v=paSzHnA3fP8,,,,
Fra-Ber Kimyasal Dayanıklı Ölçekli Ithal Sprey Başlıklı Şişe (Siyah) - 1000 ml,79588-644,https://shop.fra-ber.it/en/products/flaconi-graduati-da-1-litro-fra-ber?variant=43680672186576,,,,,,,,,,
Gyeon Q²m Wheelmitt Evo Jantlara Özel Dayanıklı Yıkama Eldiveni - 1250 Gsm,Q2M-WME,https://gyeon.co/product/wheelmitt-evo/,https://carzilla.ca/products/gyeon-q2m-wheel-mitt-evo,https://clean-garage.com/gyeon-smoothie-evo-microfiber-wash-mitt-1250-gsm/,https://www.carclean.com/en/gyeon-q2m-wheelmitt-evo.html,https://autojoy.shop/products/gy-q2m-wheelmitt-evo,https://detailing.com/products/gyeon-q2m-smoothie-wash-mitt,,,,,
Cream Leather 750 ml Spray (Deri ve Iç Yüzey Bakım Kremi),70751,https://www.autopia.ie/product/cream-leather-750ml-leather-conditioner/,https://www.gecegy.com/en/shop/fra-ber-cream-leather-italian-treating-protecting-leather-750ml-8167,https://topchemical.it/acquista-online/prodotti-lavaggio/fra-ber-flacone-graduato-1000-ml/,,,,https://www.youtube.com/watch?v=zvQuCkIn5GM,,,,
Menzerna 400 Yeşil Seri Heavy Comp. Ağır Çizik Gid. Pasta 250 ml,22200.281.001,https://www.menzerna.com/car-care/car-polish/products/details/heavy-cut-compound-400-green-line,https://www.theultimatefinish.co.uk/products/menzerna-heavy-cut-compound-400-green-line.aspx,https://www.springriver.eu/menzerna-heavy-cut-compound-400-green-line-250-ml.html,,,,,,,,
Fra-Ber Turbowash B.s Lux Yüksek Performanslı Yağ Sökücü Deterjan (1:80 Konsantre) - 10 kg,74258,https://www.fra-ber.it/en/car-wash-detergents/prewash/turbowash-bs-lux/,,,,,,,,,,
Gyeon Q2M Suede 20×20 cm,Q2M-S2020C,https://www.elitecarcare.co.uk/product/gyeon-q2m-suede-microfibre-cloth-20x20cm-pack-of-5/,https://www.cleanandshiny.co.uk/products/gyeon-q2m-suede-cloth-20cm-x-20cm-10-pack,https://www.goldlabelcarcare.co.uk/products/gyeon-q2m-suede-evo-microfiber-cloth-10cm-x-10cm-10-pack,https://detailing.com/products/gyeon-q2m-microfiber-suede-applicator-towel-10-pack,,,https://www.youtube.com/watch?v=9NOyTC3mxSU,,,,
Gyeon Q²m Ppf Lift Ppf Folyo Konumlandırma Yeniden Montaj Sıvısı - 500 ml -Yoğun Konsantre,PPF-L500M,https://gyeon.co/product/ppf-slip-2/,https://greenzcarcare.com/product/gyeon-q%C2%B2m-ppf-lift/,https://autojoy.shop/en-be/collections/paint-protection-film-1/products/gy-q2m-ppf-lift,,,,,,,,
Gyeon Q² Fabriccoat Araç Kumaş Koltuk Tente Koruyucu - 400 ml - Seramik Bazlı Nano Su Itici,Q2-FCNA400M,https://gyeon.co/product/fabriccoat/,https://www.gsfcarparts.com/products/brngfc400r,https://www.detailedimage.com/Gyeon-M91/Fabric-Coat-P1415/400-ml-S2/,https://carzilla.ca/products/gyeon-q2-fabric-400ml,https://detailing.com/products/gyeon-q2-fabric-coat-400-ml,https://www.detailstore.com.au/products/gyeon-q2-fabric-coat-400ml,https://www.youtube.com/watch?v=IUhdpPoMfNI,,,,
Gyeon Q²m Tar Redefıned Zift Katran Reçine Temizleyici ve Yapışkan Sökücü - 4000 ml,Q2M-TR4000M,https://www.gyeon.be/en/shop/q2m-tar-redefined-2467,https://carzilla.ca/products/gyeon-q2m-tar-redefined,https://www.detailedimage.com/Gyeon-M91/Tar-P1426/500-ml-S1/,,,,https://www.youtube.com/watch?v=1po_YMt0v1c,,,,
MENZERNA Sealing Wax Boya Koruma Cilası - 1 Lt,22870.261.001,https://www.theultimatefinish.co.uk/products/menzerna-sealing-wax-protection.aspx,https://www.menzerna.com/car-care/car-polish/products/details/sealing-wax-protection,,,,,,,,,
Menzerna Krater Kuzu Yünü Polisaj Keçe 220MM/9',26906.099.001,https://www.menzerna.com/car-care/accessories/polishing-accessories/details/crater-shaped-lambswool-pad,https://www.ahifi.com/polishing-pad-menzerna-crater-shaped-lambswool-pad-230mm.html,https://www.springriver.eu/menzerna-crater-shaped-lambswool-pad-230-mm.html,,,,,,,,
Gyeon Quartz Gyeon Q2 Mohs Evo Light Box 50 ml,Q2-MLE50M,https://autojoy.shop/products/gy-q2-mohs-evo-lightbox,https://carzilla.ca/products/gyeon-mohs-evo-lightbox-30ml-50ml-100ml,https://www.detailedimage.com/Gyeon-M91/Mohs-Evo-P2589/50-ml-S2/,https://gyeon.co/product/mohs-evo/,,,https://www.youtube.com/watch?v=oimBeG3NB1g,https://www.youtube.com/watch?v=5GQ8YT1rUCg&t=3s,https://www.youtube.com/watch?v=9HhIhYyoPic&t=78s,,
Fra-Ber Toglimoscerini Sinek Böcek Sökücü Sprey - 750 ml,76008,https://jmproducts.be/en/products/fra-ber-no-insect,https://shop.fra-ber.it/en/products/rimuovi-insetti-e-moscerini-auto-no-insect?variant=43696489300176,,,,,,,,,
Gyeon Q²m Cure Redefined Araç Boya Koruma ve Bakım Spreyi - 250 ml -Seramik Bazlı Koruyucu Nano,Q2M-CRYA250M,https://www.detailedimage.com/Gyeon-M91/Cure-P1417/400-ml-S1/,https://www.cleanandshiny.co.uk/products/gyeon-q2m-cure-400ml,https://www.in2detailing.co.uk/products/gyeon-q2m-cure-redifined?variant=42103520198735,https://carzilla.ca/products/gyeon-cure-redefined,https://gyeon.co/product/cure-redefined/,,https://www.youtube.com/watch?v=CRk93DYcmmI&t=1s,,,,
Gyeon Q2 Syncro Evo Light Box 50 ml,Q2-SLE50M,https://gyeon.co/product/syncro-evo/,https://www.detailedimage.com/Gyeon-M91/Syncro-Evo-P2590/50-ml-Kit-S2/,https://carzilla.ca/products/gyeon-syncro-evo-lightbox-30ml-50ml,https://clean-garage.com/gyeon-q2-syncro-evo-50ml-two-layer-ceramic-paint-coating-kit/,https://www.detailstore.com.au/products/gyeon-q2-syncro-evo-light-30ml-50ml,https://www.autogeek.net/gyeon-syncro.html,https://www.youtube.com/watch?v=xKcH_ZfSmOw&t=60s,https://www.youtube.com/watch?v=EcwnvASzXUs&t=3s,,,
Menzerna 2200 Medium Cut Polish Orta Der.Çizik Gid.Pasta 1 Lt,22771.261.001,https://www.menzerna.com/car-care/car-polish/products/details/medium-cut-polish-2000,https://www.theultimatefinish.co.uk/products/menzerna-medium-cut-polish-2200.aspx,https://raceglaze.com.au/menzerna-power-finish-2200-medium-cutting-compound-250ml/,,,,,,,,
Gyeon Q²m Apc Çok Amaçlı Genel Yüzey Temizleyici - 4000 ml -Konsantre Leke Çıkarıcı Yağ Çözücü,Q2M-APYA4000M,https://gyeon.co/product/apc/,https://www.detailedimage.com/Gyeon-M91/APC-P2459/1000-ml-S1/,https://carzilla.ca/products/gyeon-q2m-apc-1l-concentrated,https://www.theultimatefinish.co.uk/products/gyeon-q2m-apc.aspx,https://www.cleanandshiny.co.uk/products/gyeon-q2m-apc-4-litre,https://www.elitecarcare.co.uk/product/gyeon-q2m-apc-4lt/,https://www.youtube.com/watch?v=piY_qvBnfqc,,,,
Fra-Ber Brilliant Drakar Antistatik Konsol ve Iç Plastik Temizleyici Parlatıcı Parfümlü - 600 ml,70894,https://shop.fra-ber.it/en/products/lucida-cruscotti-professionale-auto-brilliant?variant=43698062655696,https://www.gecegy.com/en/shop/fra-ber-polish-plus-aroma-italian-dashboard-polisher-750ml-5305,https://www.autopia.ie/product/brilliant-600ml-scented-interior-dressing/,,,,https://www.youtube.com/watch?v=qxJzuh_BM_c,,,,
Menzerna 3800 Super Finish Hare Giderici Cila 1 Lt,22992.261.001,https://www.menzerna.com/car-care/car-polish/products/details/super-finish-plus-3800,https://www.theultimatefinish.co.uk/products/menzerna-super-finish-plus-3800.aspx,https://www.springriver.eu/menzerna-super-finish-plus-3800.html,https://www.elitecarcare.co.uk/product/menzerna-super-finish-plus-3800-finishing-polish-1-litre/,https://www.slimsdetailing.co.uk/products/menzerna-super-finish-plus-3800,,,,,,
Gyeon Q²m Total Remover Balmumu Wax Cila Çözücü Koruma Sökücü - 1000 ml,Q2M-TOTR1000M,https://www.polishedbliss.co.uk/products/gyeon-q-m-total-remover,https://www.cleanyourcar.co.uk/gyeon-q2m-total-remover,https://www.theultimatefinish.co.uk/products/gyeon-q2m-total-remover.aspx,https://www.tocsupplies.ca/products/gyeon-q-m-total-remover-500ml,https://carzilla.ca/products/gyeon-q2m-total-remover,https://www.detailedimage.com/Gyeon-M91/Total-Remover-P3565/500-ml-S1/,https://www.youtube.com/watch?v=tUQtr3zHbhs,,,,
Gyeon Q²m Restartwash Seramik Kaplama Ppf Yenileyici Asidik Şampuan - 500 ml -Konsantre,Q2M-RWYA500M,https://detailingworldnj.com/products/gyeon-q2m-restart-wash-400ml,https://carzilla.ca/products/gyeon-q2m-restart-wash-400ml,https://www.detailedimage.com/Gyeon-M91/Restart-Wash-P2457/400-ml-S1/,https://gyeon.co/product/restartwash/,,,https://www.youtube.com/watch?v=pcubF02SRNw&t=145s,,,,
Menzerna P175 Süper Parlatıcı Katı Cila Sarı Çok Amaçlı Yüzey Parlatıcı – 1300 gr,07984.056.001,https://carzilla.ca/products/menzerna-dry-polishing-compound-wp175w-ultra-fine,https://www.menzerna.com/industrial-polishing/polishing-compounds/solid-compounds/product-overview/details/p175,https://jescarmusic.com/products/menzerna-wax-p175,https://www.nonpaints.com/en/menzerna-p175-super-finish-polishing-paste,,,,,,,
Menzerna 300 Super Heavy Cut Compound Yoğun Çizik Gid. Pasta 250 ml,22746.281.001,https://carzilla.ca/products/menzerna-super-heavy-cut-compound-shcc-300-32oz,https://www.detailedimage.com/Menzerna-M10/Super-Heavy-Cut-Compound-SHCC-300-P976/32-oz-S1/,,,,,,,,,
Gyeon Q2 Mohs Evo Light Box 100 ml,Q2-MLE100M,https://gyeon.de/GYEON-Q-Mohs-EVO,https://carzilla.ca/products/gyeon-mohs-evo-lightbox-30ml-50ml-100ml,https://www.detailedimage.com/Gyeon-M91/Mohs-Evo-P2589/30-ml-S1/,https://gyeon.co/product/mohs-evo/,,,https://www.youtube.com/watch?v=oimBeG3NB1g,https://www.youtube.com/watch?v=5GQ8YT1rUCg&t=6s,,,
Gyeon Q2 AntiFog Buğu Önleyici 120ml,Q2-AF120M,"https://www.gyeon.be/en/shop/gyfog-q2-antifog-903#attribute_values=185,458,459,460,605,810",https://www.cleanandshiny.co.uk/products/gyeon-q2-anti-fog-interior-glass-coating-kit-120ml,https://www.cleanyourcar.co.uk/gyeon-q2-anti-fog,https://carzilla.ca/products/gyeon-anti-fog-treatment-120ml,,,https://www.youtube.com/watch?v=PyUuVNlCE0I,,,,
Menzerna GW16 Parlatıcı Katı Cila Bej Plastik Kompozit Boyalı Yüzey Parlatıcı – 1200 gr,12002.056.001,https://www.menzerna.com/industrial-polishing/polishing-compounds/solid-compounds/product-overview/details/gw16,https://eickelit.com/en/menzerna-gw16-high-gloss-finish-compound-sku-300-gw16-250.html,https://carzilla.ca/products/menzerna-gw16-painted-surface-finish,,,,,,,,
Fra-Ber Innovacar S2 Foamy - Enzim Bazlı Yıkama Köpüğü 1lt,79283,https://detailingmania.lv/en/products/innovacar-s2-foamy-1l---car-shampoo-with-neutral-ph,https://en.innovacar.it/products/shampoo-snow-foam-auto-s2-foamy,,,,,https://www.youtube.com/watch?v=it8TzK0rTBY,,,,
Menzerna Hare Hologram Giderici Cila Süngeri 2li Paket (Yeşil) - 95MM,26909.099.001,https://www.theultimatefinish.co.uk/products/menzerna-soft-cut-foam-pad-green.aspx,https://www.menzerna.com/car-care/accessories/polishing-accessories/details/soft-cut-foam-pad,,,,,,,,,
Gyeon Quartz Q2m Polish-Silikonsuz Hare Giderici Cila 1 lt,Q2M-PO1000M,https://www.in2detailing.co.uk/products/gyeon-q2m-polish?variant=39415771562063,https://gyeon.co/product/polish/,,,,,https://www.youtube.com/watch?v=8dWfqx8KJYg&t=2s,,,,
Menzerna Heavy Cut Premium Kırmızı Pasta Süngeri 150mm,26900.224.010,https://www.menzerna.com/car-care/accessories/polishing-accessories/details/heavy-cut-foam-pad,https://intercash.pro/en/menzerna/5478-menzerna-foam-pad-heavy-cut-diam-150-mm-4260063012280.html,https://www.theultimatefinish.co.uk/products/menzerna-heavy-cut-foam-pad-red.aspx,https://www.springriver.eu/menzerna-heavy-cut-foam-pad-150mm.html,https://www.carcare24.eu/en/menzerna-heavy-cut-polishing-foam-pad-red-150mm.html,,,,,,
Gyeon Q²m Tire Cleaner Araç Lastik Kauçuk Temizleyici - 500 ml -Güçlü Oto Teker Temizleyici,Q2M-TCYA500M,https://www.polishedbliss.co.uk/products/gyeon-q2m-tirecleaner,https://clean-garage.com/gyeon-q2m-tire-cleaner-500ml-highly-effective-rubber-cleaner/,https://www.cleanyourcar.co.uk/gyeon-q-m-tire-cleaner,https://www.carcareproducts.com.au/products/gyeon-q2m-tire-cleaner-500ml,https://detailing.com/products/gyeon-q2m-tire-cleaner-500-ml,https://carzilla.ca/products/gyeon-qm-tire-cleaner-1000ml,https://www.youtube.com/watch?v=9VhKBeLagKY,,,,
"Fra-Ber Multıforce Çok Amaçlı Güçlü Yağ ve Kir Temizleyici (1:10 Konsantre) - 4,54 Lt",701010,https://www.gecegy.com/en/shop/fra-ber-multiforce-italian-multi-purpose-stubborn-dirt-degreaser-4-54l-8165,https://shop.fra-ber.it/en/products/sgrassatore-potente-per-motori-olio-grasso-multiforce?variant=43696420683984,,,,,,,,,
"Fra-Ber Lindo Cam, Lake ve Parlak Yüzey Temizleyici (1:10 Konsantre) - 5 kg",700466,https://detailingmania.lv/en/products/fra-ber-lindo-4-54l-10---110---glass-cleaner,https://shop.fra-ber.it/en/products/detergente-per-vetri-auto-professionale-lindo?variant=43691459674320,,,,,https://www.youtube.com/watch?v=Ggbpqd0jWOk,,,,
Menzerna Rotary Polisaj Makineleri Matkap İçin Dayanıklı Ped Destek Disk Tabanlık - 75 mm,26934.099.001,https://detailerplace.com/en/product/menzerna-polishing-pad-holder-rotary/,https://www.cleanyourcar.co.uk/menzerna-3-75mm-rotary-backing-plate,https://www.menzerna.com/car-care/accessories/polishing-accessories/details/premium-backing-plate,https://www.iclean.at/en/menzerna-backing-plate-75mm,,,,,,,
